English Name,Translated Name,Description
Gold Blaze Chest,Gold Blaze Chest,Gold Blaze Chest
Platinum Blaze Chest,Platinum Blaze Chest,Platinum Blaze Chest
Gen-8 TM Chest,Gen-8 TM Chest,Gen-8 TM Chest
Gen-8 TR Chest,Gen-8 TR Chest,Gen-8 TR Chest
Game Pass (Easter 2021),Game Pass (Easter 2021),Game Pass
Premium Game Pass (Easter 2021),Premium Game Pass (Easter 2021),Premium Game Pass
Evolution Stone Chest,Evolution Stone Chest,Evolution Stone Chest
Togekiss Hat,Togekiss Hat,Togekiss Hat
Lure,Lure,A stackable item which has a tremendous amount of aroma the more you use. It attracts rare, very rare and ultra rare Pokémon.
January 2021 Season Ticket,January 2021 Season Ticket,Season Ticket
Togekiss Mount,Togekiss Mount,Togekiss Mount
Corviknight Mount,Corviknight Mount,Corviknight Mount
Corviknight Mount (Shiny),Corviknight Mount (Shiny),Corviknight Mount (Shiny)
Ability Patch,Ability Patch,A patch that allows a Pokémon with a regular Ability to have a rare Ability.
Umbreon Mount,Umbreon Mount,Umbreon Mount
Dynite ore,Dynite ore,Mysterious ore that can be exchanged for rewards from various traders.
Weakness Policy,Weakness Policy,An item to be held by a Pokémon. Attack and Sp. Atk sharply increase if the holder is hit with a move it's weak to.
Unallocated EV Reset,Unallocated EV Reset,Resets the unallocated EVs of a Pokémon.
Full EV Reset,Full EV Reset,Resets allocated and unallocated EVs of a Pokémon.
Assault Vest,Assault Vest,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
Pikachu Mood Pack,Pikachu Mood Pack,Pikachu Mood Pack.
Super Pomeg Berry,Super Pomeg Berry,Using it on a Pokemon makes it more friendly, but it also moves its allocated HP EVs to unallocated HP EVs.
Super Kelpsy Berry,Super Kelpsy Berry,Using it on a Pokemon makes it more friendly, but it also moves its allocated Attack EVs to unallocated Attack EVs.
Super Qualot Berry,Super Qualot Berry,Using it on a Pokemon makes it more friendly, but it also moves its allocated Defense EVs to unallocated Defense EVs.
Super Hondew Berry,Super Hondew Berry,Using it on a Pokemon makes it more friendly, but it also moves its allocated Sp. Atk EVs to unallocated Sp. Atk EVs.
Super Grepa Berry,Super Grepa Berry,Using it on a Pokemon makes it more friendly, but it also moves its allocated Sp. Def EVs to unallocated Sp. Def EVs.
Super Tamato Berry,Super Tamato Berry,Using it on a Pokemon makes it more friendly, but it also moves its allocated Speed EVs to unallocated Speed EVs.
Fisherman Chest,Fisherman Chest,A chest containing 3 unique water Pokemon. Remember to carry a pokemon before opening one.
Bug Catcher Chest,Bug Catcher Chest,A chest containing 3 unique bug Pokemon. Remember to carry a pokemon before opening one.
Tutor Move Voucher,Tutor Move Voucher,Tutor Move Voucher
Egg Move Voucher,Egg Move Voucher,Egg Move Voucher
Charizard Mount,Charizard Mount,Charizard Mount
Scooby-Doo Mount,Scooby-Doo Mount,Scooby-Doo Mount
Pika-Surf Mount,Pika-Surf Mount,Pika-Surf Mount
Roseli Berry,Roseli Berry,Weakens a supereffective Fairy-type attack against the holding Pokemon.
Permanent Air Balloon,Permanent Air Balloon,When held by a Pokemon, the Pokemon will float into the air. When the holder is attacked, this item will burst.
Permanent Focus Sash,Permanent Focus Sash,An item to be held by a Pokemon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.
Toge-Carrier,Toge-Carrier,Toge-Carrier
Charmander Chest,Charmander Chest,A chest which spawns and starts a wild battle with Charmandar..
Bulbasaur Chest,Bulbasaur Chest,A chest which spawns and starts a wild battle with Bulbasaur.
Squirtle Chest,Squirtle Chest,A chest which spawns and starts a wild battle with Squirtle.
Charizard Mount (Shiny),Charizard Mount (Shiny),Charizard Mount (Shiny)
Umbreon Mount (Shiny),Umbreon Mount (Shiny),Umbreon Mount (Shiny)
Eevee Mood Pack,Eevee Mood Pack,Eevee Mood Pack.
Mega Charizard-X Mount,Mega Charizard-X Mount,Mega Charizard-X Mount
Utility Umbrella,Utility Umbrella,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of weather.
Umbreon Mount Chest,Umbreon Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Umbreon mount.
Charizard Mount Chest,Charizard Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Charizard mount.
Corviknight Mount Chest,Corviknight Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Corviknight mount.
Swarm Flute,Swarm Flute,A flute which triggers a swarm on a random map.
Lure Stack,Lure Stack,Stack of 3 Lures.
Dog Collar,Dog Collar,A random dog collar which says Scooby Doo.
Mansion Key,Mansion Key,Mansion Key.
Mega Charizard-X Mount Chest,Mega Charizard-X Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Mega Charizard-X mount.
Lucario Mood Pack,Lucario Mood Pack,Lucario Mood Pack.
Mega Charizard-X Mount (Shiny),Mega Charizard-X Mount (Shiny),Mega Charizard-X Mount (Shiny)
Starter Girl Green Jeans,Starter Girl Green Jeans,Classic starter green Jeans
Starter Girl Black Jeans,Starter Girl Black Jeans,Classic starter black Jeans
Starter Girl Yellow Jeans,Starter Girl Yellow Jeans,Classic starter yellow Jeans
Starter Girl Purple Jeans,Starter Girl Purple Jeans,Classic starter orange Jeans
Starter Girl Pink Jeans,Starter Girl Pink Jeans,Classic starter pink Jeans
Starter Girl Orange Jeans,Starter Girl Orange Jeans,Classic starter orange Jeans
Starter Girl Green V Neck,Starter Girl Green V Neck,Classic starter green V Neck
Starter Girl Black V Neck,Starter Girl Black V Neck,Classic starter black V Neck
Starter Girl Yellow V Neck,Starter Girl Yellow V Neck,Classic starter yellow V Neck
Starter Girl Purple V Neck,Starter Girl Purple V Neck,Classic starter orange V Neck
Starter Girl Pink V Neck,Starter Girl Pink V Neck,Classic starter pink V Neck
Starter Girl Orange V Neck,Starter Girl Orange V Neck,Classic starter orange V Neck
Starter Girl Green Sleeveless,Starter Girl Green Sleeveless,Classic starter green Sleeveless
Starter Girl Black Sleeveless,Starter Girl Black Sleeveless,Classic starter black Sleeveless
Starter Girl Yellow Sleeveless,Starter Girl Yellow Sleeveless,Classic starter yellow Sleeveless
Starter Girl Purple Sleeveless,Starter Girl Purple Sleeveless,Classic starter orange Sleeveless
Starter Girl Pink Sleeveless,Starter Girl Pink Sleeveless,Classic starter pink Sleeveless
Starter Girl Orange Sleeveless,Starter Girl Orange Sleeveless,Classic starter orange Sleeveless
Starter Green V Neck,Starter Green V Neck,Classic starter green V Neck
Starter Black V Neck,Starter Black V Neck,Classic starter black V Neck
Starter Yellow V Neck,Starter Yellow V Neck,Classic starter yellow V Neck
Starter Purple V Neck,Starter Purple V Neck,Classic starter orange V Neck
Starter Pink V Neck,Starter Pink V Neck,Classic starter pink V Neck
Starter Orange V Neck,Starter Orange V Neck,Classic starter orange V Neck
Starter Green Sleeveless,Starter Green Sleeveless,Classic starter green Sleeveless
Starter Black Sleeveless,Starter Black Sleeveless,Classic starter black Sleeveless
Starter Yellow Sleeveless,Starter Yellow Sleeveless,Classic starter yellow Sleeveless
Starter Purple Sleeveless,Starter Purple Sleeveless,Classic starter orange Sleeveless
Starter Pink Sleeveless,Starter Pink Sleeveless,Classic starter pink Sleeveless
Starter Orange Sleeveless,Starter Orange Sleeveless,Classic starter orange Sleeveless
Starter Light Blue Hair,Starter Light Blue Hair,Classic starter light blue Hair Style
Starter Light Yellow Hair,Starter Light Yellow Hair,Classic starter light yellow Hair Style
Starter Red Hair,Starter Red Hair,Classic starter red Hair Style
Starter Light Red Hair,Starter Light Red Hair,Classic starter light red Hair Style
Starter Purple Hair,Starter Purple Hair,Classic starter purple Hair Style
Starter Light Purple Hair,Starter Light Purple Hair,Classic starter light purple Hair Style
Starter Green Hair,Starter Green Hair,Classic starter green Hair Style
Starter Light Green Hair,Starter Light Green Hair,Classic starter light green Hair Style
Starter Orange Hair,Starter Orange Hair,Classic starter orange Hair Style
Starter Black Hair,Starter Black Hair,Classic starter black Hair Style
Starter Girl Green Sweater,Starter Girl Green Sweater,Classic starter green Sweater
Starter Girl Black Sweater,Starter Girl Black Sweater,Classic starter black Sweater
Starter Girl Yellow Sweater,Starter Girl Yellow Sweater,Classic starter yellow Sweater
Starter Girl Purple Sweater,Starter Girl Purple Sweater,Classic starter orange Sweater
Starter Girl Pink Sweater,Starter Girl Pink Sweater,Classic starter pink Sweater
Starter Girl Orange Sweater,Starter Girl Orange Sweater,Classic starter orange Sweater
Princess Cut Blue Hair,Princess Cut Blue Hair,Classic Princess Cut blue Hair Style
Princess Cut Light Blue Hair,Princess Cut Light Blue Hair,Classic Princess Cut light blue Hair Style
Princess Cut Yellow Hair,Princess Cut Yellow Hair,Classic Princess Cut yellow Hair Style
Princess Cut Light Yellow Hair,Princess Cut Light Yellow Hair,Classic Princess Cut light yellow Hair Style
Princess Cut Red Hair,Princess Cut Red Hair,Classic Princess Cut red Hair Style
Princess Cut Light Red Hair,Princess Cut Light Red Hair,Classic Princess Cut light red Hair Style
Princess Cut Purple Hair,Princess Cut Purple Hair,Classic Princess Cut purple Hair Style
Princess Cut Light Purple Hair,Princess Cut Light Purple Hair,Classic Princess Cut light purple Hair Style
Princess Cut Green Hair,Princess Cut Green Hair,Classic Princess Cut green Hair Style
Princess Cut Light Green Hair,Princess Cut Light Green Hair,Classic Princess Cut light green Hair Style
Princess Cut Orange Hair,Princess Cut Orange Hair,Classic Princess Cut orange Hair Style
Princess Cut Black Hair,Princess Cut Black Hair,Classic Princess Cut black Hair Style
Gengar Mood Pack,Gengar Mood Pack,Gengar Mood Pack.
Dragonite Mount,Dragonite Mount,Dragonite Mount
Shadow-Charizard Mount,Shadow-Charizard Mount,Shadow-Charizard Mount
Dragonite Mount Chest,Dragonite Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Dragonite mount.
Dragonite Mount (Shiny),Dragonite Mount (Shiny),Dragonite Mount (Shiny)
Centiskorch Mount,Centiskorch Mount,Centiskorch Mount
Centiskorch Mount (Shiny),Centiskorch Mount (Shiny),Centiskorch Mount (Shiny)
Centiskorch Mount Chest,Centiskorch Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Centiskorch mount.
Kangaskhan Mount,Kangaskhan Mount,Kangaskhan Mount
Flygon Mount,Flygon Mount,Flygon Mount
Gyarados Surf Mount,Gyarados Surf Mount,Gyarados Mount
Wailmer Surf Mount,Wailmer Surf Mount,Wailmer Mount
Victreebel Mount,Victreebel Mount,Victreebel Mount
Sinnoh Safari Ticket (1 hour),Sinnoh Safari Ticket (1 hour),A ticket that allows the user to travel to Sinnoh Safari Zone for 1 hour.
Sinnoh Safari Ticket (3 hours),Sinnoh Safari Ticket (3 hours),A ticket that allows the user to travel to Sinnoh Safari Zone for 3 hours.
Sinnoh Safari Ticket (5 hour),Sinnoh Safari Ticket (5 hour),A ticket that allows the user to travel to Sinnoh Safari Zone for 5 hours.
Dragapult Mount,Dragapult Mount,Dragapult Mount
Tyranitar Mount,Tyranitar Mount,Tyranitar Mount
Shaymin-Sky Mount,Shaymin-Sky Mount,Shaymin-Sky Mount
Luxray Mount,Luxray Mount,Luxray Mount
Game Pass (Spring 2021),Game Pass (Spring 2021),Game Pass (Spring 2021)
Premium Game Pass (Spring 2021),Premium Game Pass (Spring 2021),Premium Game Pass (Spring 2021)
Dratini Chest,Dratini Chest,A chest containing Dratini. Remember to carry a pokemon before opening one.
Larvesta Chest,Larvesta Chest,A chest containing Larvesta. Remember to carry a pokemon before opening one.
Kangaskhan Mount (Shiny),Kangaskhan Mount (Shiny),Kangaskhan Mount (Shiny)
Flygon Mount (Shiny),Flygon Mount (Shiny),Flygon Mount (Shiny)
Gyarados Surf Mount (Shiny),Gyarados Surf Mount (Shiny),Gyarados Surf Mount (Shiny)
Wailmer Surf Mount (Shiny),Wailmer Surf Mount (Shiny),Wailmer Surf Mount (Shiny)
Victreebel Mount (Shiny),Victreebel Mount (Shiny),Victreebel Mount (Shiny)
Dragapult Mount (Shiny),Dragapult Mount (Shiny),Dragapult Mount (Shiny)
Tyranitar Mount (Shiny),Tyranitar Mount (Shiny),Tyranitar Mount (Shiny)
Shaymin-Sky Mount (Shiny),Shaymin-Sky Mount (Shiny),Shaymin-Sky Mount (Shiny)
Luxray Mount (Shiny),Luxray Mount (Shiny),Luxray Mount (Shiny)
Shaymin Mood Pack,Shaymin Mood Pack,Shaymin Mood Pack.
Kangaskhan Mount Chest,Kangaskhan Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Kangaskhan mount.
Flygon Mount Chest,Flygon Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Flygon mount.
Victreebel Mount Chest,Victreebel Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Victreebel mount.
Gyarados Surf Mount Chest,Gyarados Surf Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Gyarados Surf mount.
Wailmer Surf Mount Chest,Wailmer Surf Mount Chest,Chest which can generate Flygon either a basic (90%) or shiny (10%) Wailmer Surf mount.
Dragapult Mount Chest,Dragapult Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Dragapult mount.
Tyranitar Mount Chest,Tyranitar Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Tyranitar mount.
Luxray Mount Chest,Luxray Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Luxray mount.
Blaze Radar,Blaze Radar,An item that detects when you have encountered a Ultra Rare or Shiny and blocks the battle until confirmed. Consumed on either 3000 spawns or when shiny or ultra rare is encountered.
Shaymin Hat,Shaymin Hat,Shaymin Hat
Comfey Hat,Comfey Hat,Comfey Hat
Sinnoh Safari Ticket (Untradable 1 hour),Sinnoh Safari Ticket (Untradable 1 hour),A ticket that allows the user to travel to Sinnoh Safari Zone for 1 hour.
Blaze Radar (Medium),Blaze Radar (Medium),An item that detects when you have encountered a Ultra Rare or Shiny and blocks the battle until confirmed. Consumed on either 6000 spawns or when shiny or ultra rare is encountered.
Blaze Radar (Max),Blaze Radar (Max),An item that detects when you have encountered a Ultra Rare or Shiny and blocks the battle until confirmed. Consumed on either 10000 spawns or when shiny or ultra rare is encountered.
Gogoat Mount,Gogoat Mount,Gogoat Mount
Gogoat Mount (Shiny),Gogoat Mount (Shiny),Gogoat Mount
Gogoat Mount Chest,Gogoat Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Gogoat mount.
Gastrodon-East Surf Mount,Gastrodon-East Surf Mount,Gastrodon-East Mount
Gastrodon-East Surf Mount (Shiny),Gastrodon-East Surf Mount (Shiny),Gastrodon-East Surf Mount
Gastrodon-West Surf Mount,Gastrodon-West Surf Mount,Gastrodon-West Surf Mount
Gastrodon-West Surf Mount (Shiny),Gastrodon-West Surf Mount (Shiny),Gastrodon-West Surf Mount
Gastrodon-West Surf Mount Chest,Gastrodon-West Surf Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Gastrodon-West Surf mount.
Gastrodon-East Surf Mount Chest,Gastrodon-East Surf Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Gastrodon-East Surf mount.
Machamp Mount,Machamp Mount,Machamp Mount
Arcanine Mount,Arcanine Mount,Arcanine Mount
Machamp Mount (Shiny),Machamp Mount (Shiny),Machamp Mount (Shiny)
Arcanine Mount (Shiny),Arcanine Mount (Shiny),Arcanine Mount (Shiny)
Dragonite Mount (Shadow),Dragonite Mount (Shadow),Dragonite Mount (Shadow)
Arcanine Mount (Shadow),Arcanine Mount (Shadow),Arcanine Mount (Shadow)
IV Randomizer,IV Randomizer,Allows user to randomize IVs and reset IV Potion counter of the selected Pokemon. User has a choice to accept the randomized IVs.
Machamp Mount Chest,Machamp Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Machamp Mount Land mount.
Arcanine Mount Chest,Arcanine Mount Chest,Chest which can generate either a basic (90%) or shiny (10%) Arcanine Mount Land mount.
Viktor T-Shirt,Viktor T-Shirt,Pokemon Generation 8 Protagonist (T-Shirt)
Viktor Jeans,Viktor Jeans,Pokemon Generation 8 Protagonist (Jeans)
Viktor Shoes,Viktor Shoes,Pokemon Generation 8 Protagonist (Shoes)
Viktor Hair,Viktor Hair,Pokemon Generation 8 Protagonist (Hair)
Viktor Bag,Viktor Bag,Pokemon Generation 8 Protagonist (Bag)
Viktor Cap,Viktor Cap,Pokemon Generation 8 Protagonist (Cap)
Gloria Skirt,Gloria Skirt,Pokemon Generation 8 Protagonist (Skirt)
Gloria Bag,Gloria Bag,Pokemon Generation 8 Protagonist (Bag)
Gloria Cap,Gloria Cap,Pokemon Generation 8 Protagonist (Cap)
Gloria Hair,Gloria Hair,Pokemon Generation 8 Protagonist (Hair)
Gloria Sweater,Gloria Sweater,Pokemon Generation 8 Protagonist (Sweater)
Gloria Top,Gloria Top,Pokemon Generation 8 Protagonist (Top)
Gloria Shoes,Gloria Shoes,Pokemon Generation 8 Protagonist (Shoes)
Officer Cap (Female),Officer Cap (Female),Police Officer Cap (Female)
Officer Jenny Hair (Female),Officer Jenny Hair (Female),Officer Jenny Hair Style (Female)
Officer Gloves (Female),Officer Gloves (Female),Police Officer Gloves (Female)
Officer Skirt (Female),Officer Skirt (Female),Police Officer Skirt (Female)
Officer Body Strap (Female),Officer Body Strap (Female),Police Officer Body Strap (Female)
Officer Shirt (Female),Officer Shirt (Female),Police Officer Body Shirt (Female)
Officer Shoes (Female),Officer Shoes (Female),Police Officer Body Shoes (Female)
Officer Cap (Male),Officer Cap (Male),Police Officer Cap (Male)
Officer Gloves (Male),Officer Gloves (Male),Police Officer Gloves (Male)
Officer Pants (Male),Officer Pants (Male),Police Officer Pants (Male)
Officer Shirt (Male),Officer Shirt (Male),Police Officer Body Shirt (Male)
Officer Shoes (Male),Officer Shoes (Male),Police Officer Body Shoes (Male)
IV Potion,IV Potion,Increases a Pokemon's IVs is a particular stat by 1.
Blaze Coin,Blaze Coin,Coins which can be exchanged for items from various stores across PBO.
Viktor Costume Bundle,Viktor Costume Bundle,Viktor Costume Bundle contains viktor clothes
Gloria Costume Bundle,Gloria Costume Bundle,Gloria Costume Bundle contains gloria clothes
Female Officer Costume Bundle,Female Officer Costume Bundle,Bundle of officer costume for females only
Officer Jenny Costume Bundle,Officer Jenny Costume Bundle,Contains officer jenny costume for females only
Male Officer Costume Bundle,Male Officer Costume Bundle,Contains male officer costume for males only
Uxie Box,Uxie Box,A box which spawns and starts a wild battle with Uxie.
Azelf Box,Azelf Box,A box which spawns and starts a wild battle with Azelf.
Mesprit Box,Mesprit Box,A box which spawns and starts a wild battle with Mesprit.
Android 18 Hair,Android 18 Hair,Android 18 from Dragon Ball Z (Hair)
Android 18 Jacket,Android 18 Jacket,Android 18 from Dragon Ball Z (Jacket)
Android 18 Jeans,Android 18 Jeans,Android 18 from Dragon Ball Z (Jeans)
Android 18 Top,Android 18 Top,Android 18 from Dragon Ball Z (Top)
Android 18 Shoes,Android 18 Shoes,Android 18 from Dragon Ball Z (Shoes)
Kale Gloves,Kale Gloves,Kale from Dragon Ball Super (Gloves)
Kale Hair,Kale Hair,Kale from Dragon Ball Super (Hair)
Kale Shoes,Kale Shoes,Kale from Dragon Ball Super (Shoes)
Kale Shorts,Kale Shorts,Kale from Dragon Ball Super (Shorts)
Kale Top,Kale Top,Kale from Dragon Ball Super (Top)
Vados Pajamas,Vados Pajamas,Vados from Dragon Ball Super (Pajamas)
Vados Hair,Vados Hair,Vados from Dragon Ball Super (Hair)
Vados Shoes,Vados Shoes,Vados from Dragon Ball Super (Shoes)
Vados Top,Vados Top,Vados from Dragon Ball Super (Top)
Vados Arc,Vados Arc,Vados from Dragon Ball Super (Arc)
Caulifla Gloves,Caulifla Gloves,Caulifla from Dragon Ball Super (Gloves)
Caulifla Hair,Caulifla Hair,Caulifla from Dragon Ball Super (Hair)
Caulifla Pajamas,Caulifla Pajamas,Caulifla from Dragon Ball Super (Pajamas)
Caulifla Shoes,Caulifla Shoes,Caulifla from Dragon Ball Super (Shoes)
Caulifla Top,Caulifla Top,Caulifla from Dragon Ball Super (Top)
Vegeta Hair,Vegeta Hair,Vegita from Dragon Ball Z (Hair)
Vegeta Armour,Vegeta Armour,Vegita from Dragon Ball Z (Armour)
Vegeta Pants,Vegeta Pants,Vegita from Dragon Ball Z (Pants)
Vegeta T-Top,Vegeta T-Top,Vegita from Dragon Ball Z (T-Shirt)
Vegeta Shoes,Vegeta Shoes,Vegita from Dragon Ball Z (Shoes)
Goku Hair,Goku Hair,Goku from Dragon Ball Z (Hair)
Goku Gi,Goku Gi,Goku from Dragon Ball Z (Gi)
Goku Pants,Goku Pants,Goku from Dragon Ball Z (Pants)
Goku T-Shirt,Goku T-Shirt,Goku from Dragon Ball Z (T-Shirt)
Goku Shoes,Goku Shoes,Goku from Dragon Ball Z (Shoes)
Android 18 Costume Bundle,Android 18 Costume Bundle,Android 18 Costume Bundle contains Android 18 clothes
Caulifla Costume Bundle,Caulifla Costume Bundle,Caulifla Costume Bundle contains Caulifla clothes
Goku Costume Bundle,Goku Costume Bundle,Bundle of Goku costume for males only
Kale Costume Bundle,Kale Costume Bundle,Contains Kale costume for females only
Vados Costume Bundle,Vados Costume Bundle,Contains Vados costume for females only
Vegeta Costume Bundle,Vegeta Costume Bundle,Contains Vegeta costume for males only
Broly Costume Bundle,Broly Costume Bundle,Contains Broly costume for males only
Beerus Costume Bundle,Beerus Costume Bundle,Contains Beerus costume for males only
Broly Muscle T-Shirt Black,Broly Muscle T-Shirt Black,Broly from Dragon Ball Z (T-Shirt)
Broly Armlets,Broly Armlets,Broly Gloves (Armlets)
Broly Hair,Broly Hair,Broly from Dragon Ball Z (Hair)
Broly Coat,Broly Coat,Broly from Dragon Ball Z (Pelt)
Broly Pants,Broly Pants,Broly from Dragon Ball Z (Pants)
Broly Muscle T-Shirt,Broly Muscle T-Shirt,Broly from Dragon Ball Z (T-Shirt)
Broly Muscle T-Shirt Tan,Broly Muscle T-Shirt Tan,Broly from Dragon Ball Z (T-Shirt)
Broly Shoes,Broly Shoes,Broly from Dragon Ball Z (Shoes)
Broly Muscle T-Shirt White,Broly Muscle T-Shirt White,Broly from Dragon Ball Z (T-Shirt)
Beerus Mask,Beerus Mask,Beerus from Dragon Ball Z (Mask)
Beerus Armlets,Beerus Armlets,Beerus from Dragon Ball Z (Armlets)
Beerus Collar,Beerus Collar,Beerus from Dragon Ball Z (Collar)
Beerus Pants,Beerus Pants,Beerus from Dragon Ball Z (Pants)
Beerus T-Top,Beerus T-Top,Beerus from Dragon Ball Z (T-Top)
Beerus Shoes,Beerus Shoes,Beerus from Dragon Ball Z (Shoes)
Beerus Tail,Beerus Tail,Beerus from Dragon Ball Z (Tail)
Broly Tan Costume Bundle,Broly Tan Costume Bundle,Broly Tan Costume Bundle
Broly White Costume Bundle,Broly White Costume Bundle,Broly White Costume Bundle
Broly Black Costume Bundle,Broly Black Costume Bundle,Broly Black Costume Bundle
Squirtle Squad Mount,Squirtle Squad Mount,Cool squad of Squirtle ready to carry you around.
Squirtle Shades,Squirtle Shades,Squirtle shades wore by Ash's Squirtle and leader of Squirtle Squad
Squirtle Shell (Female),Squirtle Shell (Female),Squirtle costume shell.
Squirtle Shell (Male),Squirtle Shell (Male),Squirtle costume shell.
Ozaru Mount,Ozaru Mount,Ozaru Mount
Super Ozaru Mount,Super Ozaru Mount,Super Ozaru Mount
Ozaru Mount Chest,Ozaru Mount Chest,Chest which can generate either a Ozaru (90%) or Super Ozaru (10%) Land mount.
Mercury Potion,Mercury Potion,A fantastic medicine dispensed by experts using Bronzor to help cure ill-effects on magnetism on Steel-Type Pokemon.
Basic Game Pass (Summer 2021),Basic Game Pass (Summer 2021),Basic Game Pass
Premium Game Pass (Summer 2021),Premium Game Pass (Summer 2021),Premium Game Pass
Dragon Ball,Dragon Ball,An ancient Golden coloured Ball which can be exchanged for unique items.
Steel Cave Pass,Steel Cave Pass,A pass which allows to enter the Steel Caves in Iron Islands.
Squirtle Squad Mood Pack,Squirtle Squad Mood Pack,Squirtle Squad Mood Pack.
Map Bomb,Map Bomb,A bomb packed by staff of PBO. It will scatter 10 items on the map which player uses the item on. Map needs to have 20+ players and at least players from 3 unique crews.
Panda Mask,Panda Mask,Cute Panda Costume (Mask)
Panda Suit Top,Panda Suit Top,Cute Panda Costume (Top)
Panda Suit Bottom,Panda Suit Bottom,Cute Panda Costume (Bottom)
Panda Suit Shoes,Panda Suit Shoes,Cute Panda Costume (Shoes)
Panda Costume Bundle,Panda Costume Bundle,Contains Panda costume (Gender neutral)
Shenron Mount,Shenron Mount,Shenron Mount
Salamence Mount,Salamence Mount,Salamence Mount
Salamence Mount (Shiny),Salamence Mount (Shiny),Salamence Mount (Shiny)
Salamence Mount Chest,Salamence Mount Chest,Chest which can generate either a Salamence (90%) or Shiny Salamence (10%) Land mount.
Alolan Exeggutor Mount,Alolan Exeggutor Mount,Alolan Exeggutor Mount
Bubble Mask,Bubble Mask,Bubble Mask
Pink Floaty,Pink Floaty,Pink floaty for girls only
Blue Floaty,Blue Floaty,Blue floaty for boys only
Suicune Mount,Suicune Mount,Suicune Mount
Suicune Mount (Shiny),Suicune Mount (Shiny),Suicune Mount (Shiny)
Suicune Mount Chest,Suicune Mount Chest,Chest which can generate either a Suicune (90%) or Shiny Suicune (10%) Land mount.
Porygon2 Mount,Porygon2 Mount,Porygon2 Mount
Porygon2 Mount (Shiny),Porygon2 Mount (Shiny),Porygon2 Mount (Shiny)
Porygon2 Mount Chest,Porygon2 Mount Chest,Chest which can generate either a Porygon2 (90%) or Shiny Porygon2 (10%) Land mount.
Flygon Mount (Shadow),Flygon Mount (Shadow),Flygon Mount (Shadow) Mount
Basic Game Pass (Summer 2021 V2),Basic Game Pass (Summer 2021 V2),Basic Game Pass
Premium Game Pass (Summer 2021 V2),Premium Game Pass (Summer 2021 V2),Premium Game Pass
Pikachu Mood Pack (V2),Pikachu Mood Pack (V2),Pikachu Mood Pack (V2).
Permanent Throat Spray,Permanent Throat Spray,After the Pokémon holding Throat Spray uses a sound-based move, it consumes the item and its Special Attack is raised by one stage. Throat Spray is not used if the move fails, or finishes the battle.
Permanent Sitrus Berry,Permanent Sitrus Berry,If held by a Pokemon, it heals the user's HP a little.
Permanent Lum Berry,Permanent Lum Berry,If held by a Pokemon, it recovers from any status problem.
Gyarados Surf Mount (Shadow),Gyarados Surf Mount (Shadow),Gyarados Surf Mount (Shadow)
Togepi Chest,Togepi Chest,A chest which spawns Togepi.
Permanent Custap Berry,Permanent Custap Berry,Holder can move first when HP is low.
One Time Room Service,One Time Room Service,An item to be held by a Pokémon. Lowers Speed when Trick Room takes effect (Single Use).
Permanent Room Service,Permanent Room Service,An item to be held by a Pokémon. Lowers Speed when Trick Room takes effect.
Sharpedo-Mega Surf Mount,Sharpedo-Mega Surf Mount,Sharpedo-Mega Surf Mount
Sharpedo-Mega Surf Mount (Shiny),Sharpedo-Mega Surf Mount (Shiny),Sharpedo-Mega Surf Mount (Shiny)
Sharpedo-Mega Surf Mount Chest,Sharpedo-Mega Surf Mount Chest,Chest which can generate either a Sharpedo-Mega (90%) or Shiny Sharpedo-Mega (10%) Land mount.
Umbreon Mount (Moonlight),Umbreon Mount (Moonlight),Umbreon Mount (Moonlight) Mount
Tyranitar Mount (Shadow),Tyranitar Mount (Shadow),Tyranitar Mount (Shadow) Mount
Goodwill Token,Goodwill Token,Tokens which are given out by the server for contributing towards community events. These can be used to buy exclusive items from Goodwill Store in Sandgem Town's PokeCenter.
Super Swarm Flute,Super Swarm Flute,A flute which allows you to select 1 Pokemon from list of all swarm pokemon on a random map.
Advanced Swarm Flute,Advanced Swarm Flute,A flute which allows you to select both Pokemon from list of all swarm pokemon on the map you are currently on.
Eevee Box,Eevee Box,A box which spawns and starts a wild battle with Eevee.
Swanna Muffs,Swanna Muffs,Swanna Muffs Mask
Swanna Wings (Male),Swanna Wings (Male),Swanna Wings (Male)
